Богдана Хмельницкого;49;30-10-2021;Здравствуйте, почему холодные батареи?;56.12676905 47.23197420208202;1;100;[1];Благоустройство и инфраструктура;0
И.Ф.Скворцова;6;30-10-2021;Доброе утро. В первом подъезде на 5 этаже перегорела лампочка, просим устранить в ближайшее время.;56.08085035 47.32187589400164;2;0;[2, 31];Благоустройство и инфраструктура;0
Ильи Тукташа;7/8;29-10-2021;Здравствуйте, в 6 подъезде второй день нет света!;56.13521435 47.25730915399754;3;-1000;[3, 1397];Благоустройство и инфраструктура;0
Гидростроителей;6;29-10-2021;Уважаемая управляющая компания, в нашем дворе ( бульвар Гидростроителей дома №№ 4,6,8,10) уже больше двух недель болтаются сломанные качели. Дети на них виснут, что опасно для здоровья, да  и вид неприглядный. Убедительная просьба отремонтируйте качели, пожалуйста, в ближайшее время.;56.1351824 47.2965476;4;348;[4, 111, 145, 148, 274, 320, 407];Благоустройство и инфраструктура;0
Филиппа Лукина;3;29-10-2021;День добрый. Было бы неплохо отремонтировать ручку двери в кладовые помещения у подъезда №5 со стороны газового котла.;56.1330376 47.15248473516455;5;0;[5];Благоустройство и инфраструктура;0
Юго-Западный;8;29-10-2021;"""День добрый,  в нашей квартире сушилка в ванной постоянно холодная  по утрам, либо едва тёплая. """"Горячая"""" вода уже на такая горячая, и идёт после того как сольешь 10-15 минут. Прошу разъяснить сложившуюся ситуацию. Это уже не первое обращение.""";56.1176509 47.1858357;6;0;[6];Жилищно-коммунальные услуги;0
Проспект Мира;29;29-10-2021;Добрый день! Прошу заменить лапу освещения на  лестничной площадке в 8 подъезде на 1 этаже.;56.1052428 47.2661301168381;7;0;[7];Благоустройство и инфраструктура;0
Первомайская;43;29-10-2021;Прошу провести обследование подвального помещения подъезда № 3 д.43 по ул. Первомайская и принять меры по устранению постоянной сырости, которая способствует распространению плесени,неприятного запаха, также от сырости и конденсата быстрее приходят в негодность канализационные и водопроводные трубы.Фото прилагаю.;56.1037317 47.1797707;8;679;[8, 12, 143, 179, 181, 394, 437, 676, 692, 771, 786, 829, 932, 958, 969, 972, 985, 986];Благоустройство и инфраструктура;0
Короленко;6А;28-10-2021;Не могу зарегистрироваться в портале т.к мой счёт привязан к другому пользователю;56.13084550000001 47.22639481692734;9;0;[9];Благоустройство и инфраструктура;0
Димитрова;20;28-10-2021;Добрый день! по ул. Димитрова, д. 20,угловая квартира, температура батарей составляет всего 30 градусов, батареи чуть тёплые, в жилой комнате не комфортно находиться. Просьба принять меры!;56.107447300000004 47.17920985;10;0;[10];Благоустройство и инфраструктура;0
Проспект Максима Горького;31;28-10-2021;пр. М.Горького 31, подъезд 5. Уже несколько недель не производится уборка подъезда. Если и убирают, то выше второго этажа не поднимаются. Как это понимать и за что мы платим деньги ?;56.1478697 47.18001715;11;-300;[11, 205, 463, 519, 1196, 1290];Благоустройство и инфраструктура;0
Южная;9;28-10-2021;Вместо горячей воды идёт холодная. Просим устранить.;56.0695955 47.28652278473134;13;-1100;[13];Жилищно-коммунальные услуги;0
Пирогова;18;28-10-2021;Добрый день! За Капитальный ремонт и за воду не знаем лицевой счет на имя Антошина Любовь Алексеевна. По адресу: г. Чебоксары, ул.Пирогова д.18, кв.169. Была владельцем до 20 августа 2021 года, после продали. Хотели узнать долги и оплатить. Прошу отправить ответ на электронную почту alek.antoschin@yandex.ru Заранее спасибо!;56.137972399999995 47.204481448972544;14;-500;[14, 835];Благоустройство и инфраструктура;0
Проспект Ленина;11;28-10-2021;3-ий подъезд нашего дома, нетзамка на подвальной двери, дверь можно сказать сломана.;56.12846155 47.24942451167528;15;0;[15];Жилищно-коммунальные услуги;0
Ахазова;7;28-10-2021;Повторно. ;56.1453797 47.1741631;16;-400;[16, 244, 512, 591, 592, 604];Благоустройство и инфраструктура;0
Шумилова;28;27-10-2021;Здравствуйте.  Во вторник утром  26.10.2021г. я звонила  в тех.участок1 по поводу холодных батарей отопления в квартире  8, д.28.по ул.Шумилова, пообещали разобраться. В итоге, в течении 1,5 суток ничего не изменилось, батареи как были холодными, так и остались. В квартире холодно и сыро. Квартплату оплачиваю ежемесячно, долгов нет, и тепла нет.  Разберитесь пожалуйста.;56.10395055 47.29286378254486;17;0;[17];Благоустройство и инфраструктура;0
